collection_day,collection_month,collection_year,location_address,location_county,location_latitude,location_longitude,location_town,tick_id,tick_infection_tested,tick_infection,full_address,latitude,longitude
24,5,2023,10 Longwood Lane,GRAFTON,,,WEST LEBANON,20230300,YES,YES,"10 Longwood Lane,WEST LEBANON,GRAFTON, USA",43.6482811,-72.3102794
7,4,2023,10 Orchard View Rd Amherst NH,HILLSBOROUGH,,,AMHERST,20230053,YES,YES,"10 Orchard View Rd Amherst NH,AMHERST,HILLSBOROUGH, USA",42.882907,-71.601592
30,9,2023,138 Owlshead Road,CARROLL,,,SANDWICH,20232203,YES,YES,"138 Owlshead Road,SANDWICH,CARROLL, USA",43.776096,-71.525813
21,6,2023,"329 NH Rt. 175 Holderness, NH 03245",GRAFTON,,,HOLDERNESS,20232331,YES,YES,"329 NH Rt. 175 Holderness, NH 03245,HOLDERNESS,GRAFTON, USA",43.74441302,-71.62147179
20,4,2023,"43.64, -72.3",GRAFTON,,,WEST LEBANON,20230059,YES,YES,"43.64, -72.3,WEST LEBANON,GRAFTON, USA",43.64,-72.3
30,5,2023,"50 Camp Pemigewassett Rd Wentworth, NH",GRAFTON,,,WENTWORTH,20231512,YES,YES,"50 Camp Pemigewassett Rd Wentworth, NH,WENTWORTH,GRAFTON, USA",43.88966085,-71.96927123
5,7,2023,"Camp Cody 9 Cody Rd Freedom, NH 03836",CARROLL,,,FREEDOM,20231270,YES,YES,"Camp Cody 9 Cody Rd Freedom, NH 03836,FREEDOM,CARROLL, USA",43.8099719,-71.1089291
25,4,2023,"Gerrish Road (6 Bashan Hollow Rd, Webster NH)",MERRIMACK,,,WEBSTER,20230055,YES,YES,"Gerrish Road (6 Bashan Hollow Rd, Webster NH),WEBSTER,MERRIMACK, USA",43.309722,-71.719251
31,6,2023,Heald Tract Forest Reservation,HILLSBOROUGH,,,WILTON,20232169,YES,YES,"Heald Tract Forest Reservation,WILTON,HILLSBOROUGH, USA",42.785573,-71.731434
20,11,2023,"Lyndbourough, NH",HILLSBOROUGH,,,LYNDEBOROUGH,20232379,YES,YES,"Lyndbourough, NH,LYNDEBOROUGH,HILLSBOROUGH, USA",42.92134355,-71.76423977
21,5,2023,,GRAFTON,,,ASHLAND,20230309,YES,YES,"nan,ASHLAND,GRAFTON, USA",43.7460255,-71.6475432
28,6,2023,Northwoods Camp,CARROLL,,,MIRROR LAKE,20231985,YES,YES,"Northwoods Camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
28,6,2023,NW & PVC Camps,CARROLL,,,MIRROR LAKE,20231988,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
29,6,2023,NW & PVC Camps ,CARROLL,,,MIRROR LAKE,20231972,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
30,6,2023,NW & PVC Camps,CARROLL,,,MIRROR LAKE,20231971,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
30,6,2023,NW & PVC Camps,CARROLL,,,MIRROR LAKE,20231964,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
18,7,2023,NW & PVC Camps,CARROLL,,,MIRROR LAKE,20231950,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
13,8,2023,NW & PVC Camps,CARROLL,,,MIRROR LAKE,20231951,YES,YES,"NW & PVC Camps,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
28,6,2023,NW Camp,CARROLL,,,MIRROR LAKE,20231987,YES,YES,"NW Camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
20,10,2023,Plum Island,,,,NEWBURYPORT_MA,20232192,YES,YES,"Plum Island,NEWBURYPORT_MA,nan, USA",42.8116592,-70.8719271
1,7,2023,PVC camp,CARROLL,,,MIRROR LAKE,20231968,YES,YES,"PVC camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
23,10,2023,yardwork at home and Candia cemetary,HILLSBOROUGH,,,WEARE,20230126,YES,YES,"yardwork at home and Candia cemetary,WEARE,HILLSBOROUGH, USA",43.063455,-71.653974
6,7,2023,14 Forest View Drive,HILLSBOROUGH,,,HOLLIS,20231486,YES,NO,"14 Forest View Drive,HOLLIS,HILLSBOROUGH, USA",42.7626197,-71.6222639
9,6,2023,14 Forest View Drive,HILLSBOROUGH,,,HOLLIS,20231482,YES,NO,"14 Forest View Drive,HOLLIS,HILLSBOROUGH, USA",42.7626197,-71.6222639
27,5,2023,10 Orchard View Drive,HILLSBOROUGH,,,AMHERST,20231651,YES,NO,"10 Orchard View Drive,AMHERST,HILLSBOROUGH, USA",42.8804916,-71.6009129
28,4,2023,133 Wire Rd,HILLSBOROUGH,,,MERRIMACK,20230044,YES,NO,"133 Wire Rd,MERRIMACK,HILLSBOROUGH, USA",42.8945969,-71.5092486
14,4,2023,38 Hawthorne Dr Bedford NH,HILLSBOROUGH,,,BEDFORD,20230087,YES,NO,"38 Hawthorne Dr Bedford NH,BEDFORD,HILLSBOROUGH, USA",42.9404025,-71.4622382
9,11,2023,Spofford Road,CHESHIRE,,,WESTMORELAND,20231997,YES,NO,"Spofford Road,WESTMORELAND,CHESHIRE, USA",42.9439948,-72.4288047
9,11,2023,Spofford Road,CHESHIRE,,,WESTMORELAND,20231998,YES,NO,"Spofford Road,WESTMORELAND,CHESHIRE, USA",42.9439948,-72.4288047
25,5,2023,401 Old Bennington Rd Greenfield NH,HILLSBOROUGH,,,GREENFIELD,20230914,YES,NO,"401 Old Bennington Rd Greenfield NH,GREENFIELD,HILLSBOROUGH, USA",42.967349,-71.925387
13,6,2023,401 Old Bennington Road,HILLSBOROUGH,,,GREENFIELD,20231688,YES,NO,"401 Old Bennington Road,GREENFIELD,HILLSBOROUGH, USA",42.967349,-71.925387
8,11,2023,19 Fieldstone Dr Hooksett NH,MERRIMACK,,,HOOKSETT,20231993,YES,NO,"19 Fieldstone Dr Hooksett NH,HOOKSETT,MERRIMACK, USA",43.0228273,-71.423882
8,6,2023,99 Pratt Road,CHESHIRE,,,ALSTEAD,20231000,YES,NO,"99 Pratt Road,ALSTEAD,CHESHIRE, USA",43.104574,-72.347884
19,10,2023,188 Hopkinton Road,MERRIMACK,,,CONCORD,20232219,YES,NO,"188 Hopkinton Road,CONCORD,MERRIMACK, USA",43.1953466,-71.599671
25,10,2023,138 Goshen Drive,MERRIMACK,,,LOUDON,20232004,YES,NO,"138 Goshen Drive,LOUDON,MERRIMACK, USA",43.3032702,-71.4715636
20,10,2023,138 Goshen Drive,MERRIMACK,,,LOUDON,20232003,YES,NO,"138 Goshen Drive,LOUDON,MERRIMACK, USA",43.3032702,-71.4715636
11,10,2023,77 Old Turnpike Road,MERRIMACK,,,SALISBURY,20232039,YES,NO,"77 Old Turnpike Road,SALISBURY,MERRIMACK, USA",43.3718456,-71.7000434
23,6,2023,77 Old Turnpike Road,MERRIMACK,,,SALISBURY,20232037,YES,NO,"77 Old Turnpike Road,SALISBURY,MERRIMACK, USA",43.3718456,-71.7000434
24,6,2023,77 Old Turnpike Road,MERRIMACK,,,SALISBURY,20232038,YES,NO,"77 Old Turnpike Road,SALISBURY,MERRIMACK, USA",43.3718456,-71.7000434
22,6,2023,93 Powder Mill Road,BELKNAP,,,ALTON,20231321,YES,NO,"93 Powder Mill Road,ALTON,BELKNAP, USA",43.487475,-71.2138598
22,6,2023,119 Threshing Mill Road,BELKNAP,,,SANBORNTON,20231238,YES,NO,"119 Threshing Mill Road,SANBORNTON,BELKNAP, USA",43.492337,-71.6045184
19,4,2023,119 Threshing Mill Road,BELKNAP,,,SANBORNTON,20231175,YES,NO,"119 Threshing Mill Road,SANBORNTON,BELKNAP, USA",43.492337,-71.6045184
14,6,2023,32 Crescent St Hill,MERRIMACK,,,HILL,20230645,YES,NO,"32 Crescent St Hill,HILL,MERRIMACK, USA",43.5217289,-71.7006616
22,5,2023,32 Crescent St Hill,MERRIMACK,,,HILL,20230183,YES,NO,"32 Crescent St Hill,HILL,MERRIMACK, USA",43.5217289,-71.7006616
17,5,2023,32 Crescent St. Hill,MERRIMACK,,,HILL,20230198,YES,NO,"32 Crescent St. Hill,HILL,MERRIMACK, USA",43.5217289,-71.7006616
3,8,2023,"181 Dean Rd Danbury, NH",MERRIMACK,,,DANBURY,20231136,YES,NO,"181 Dean Rd Danbury, NH,DANBURY,MERRIMACK, USA",43.5299406,-71.9258825
24,6,2023,"181 dean rd Danbury, NH 03230",MERRIMACK,,,DANBURY,20231992,YES,NO,"181 dean rd Danbury, NH 03230,DANBURY,MERRIMACK, USA",43.5299406,-71.9258825
30,5,2023,224 Bohonon Road,MERRIMACK,,,DANBURY,20230577,YES,NO,"224 Bohonon Road,DANBURY,MERRIMACK, USA",43.5530375,-71.8639037
11,6,2023,129 Lane Rd Laconia,BELKNAP,,,LACONIA,20231117,YES,NO,"129 Lane Rd Laconia,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
19,6,2023,129 Lane Road,BELKNAP,,,LACONIA,20231924,YES,NO,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
24,5,2023,129 Lane Road,BELKNAP,,,LACONIA,20230407,YES,NO,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
17,5,2023,129 Lane Road,BELKNAP,,,LACONIA,20230344,YES,NO,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
16,6,2023,49 George Hill Road,GRAFTON,,,ENFIELD,20230984,YES,NO,"49 George Hill Road,ENFIELD,GRAFTON, USA",43.5766589,-72.0896208
4,10,2023,72 Pendleton Beach Rd,BELKNAP,43.6085233,-71.4453448,LACONIA,20232171,YES,NO,"72 Pendleton Beach Rd,LACONIA,BELKNAP, USA",43.6079386,-71.4455069
17,5,2023,61 Drake Rd,BELKNAP,,,NEW HAMPTON,20230359,YES,NO,"61 Drake Rd,NEW HAMPTON,BELKNAP, USA",43.6177627,-71.6292305
5,5,2023,60 Mansfield Woods Way,BELKNAP,,,NEW HAMPTON,20230478,YES,NO,"60 Mansfield Woods Way,NEW HAMPTON,BELKNAP, USA",43.6206319,-71.6423782
3,5,2023,60 Mansfield Woods Way,BELKNAP,,,NEW HAMPTON,20230477,YES,NO,"60 Mansfield Woods Way,NEW HAMPTON,BELKNAP, USA",43.6206319,-71.6423782
29,6,2023,"Mirror Lake, NH",CARROLL,,,MIRROR LAKE,20231991,YES,NO,"Mirror Lake, NH,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
19,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232399,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
16,11,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232402,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
30,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232401,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
7,12,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232403,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
13,12,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232404,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
15,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232398,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
14,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232397,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
13,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232396,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
28,10,2023,"20 Perley Av Lebanon, NH",GRAFTON,,,LEBANON,20232400,YES,NO,"20 Perley Av Lebanon, NH,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
9,5,2023,20 Perley Ave,GRAFTON,,,LEBANON,20230373,YES,NO,"20 Perley Ave,LEBANON,GRAFTON, USA",43.6369849,-72.2449756
27,7,2023,"Tuftonboro, NH ",CARROLL,,,TUFTONBORO,20231953,YES,NO,"Tuftonboro, NH,TUFTONBORO,CARROLL, USA",43.6542439,-71.2472913
13,5,2023,"1941 Dick Brown Rd Bridgewater, NH",GRAFTON,43.689231,-71.708976,BRIDGEWATER,20232395,YES,NO,"1941 Dick Brown Rd Bridgewater, NH,BRIDGEWATER,GRAFTON, USA",43.6875726,-71.7086941
13,9,2023,"1941 Dick Brown Rd Bridgewater, NH",GRAFTON,43.689231,-71.708976,BRIDGEWATER,20232393,YES,NO,"1941 Dick Brown Rd Bridgewater, NH,BRIDGEWATER,GRAFTON, USA",43.6875726,-71.7086941
29,6,2023,"1941 Dick Brown Rd Bridgewater, NH",GRAFTON,43.689231,-71.708976,BRIDGEWATER,20232388,YES,NO,"1941 Dick Brown Rd Bridgewater, NH,BRIDGEWATER,GRAFTON, USA",43.6875726,-71.7086941
25,5,2023,108 Greensboro Rd,GRAFTON,,,HANOVER,20230435,YES,NO,"108 Greensboro Rd,HANOVER,GRAFTON, USA",43.6908226,-72.2475834
19,10,2023,167 Highland Street,GRAFTON,,,ASHLAND,20232055,YES,NO,"167 Highland Street,ASHLAND,GRAFTON, USA",43.7057088,-71.6351183
28,10,2023,"21 Kelsea Ave Center Harbor, NH",BELKNAP,,,CENTER HARBOR,20232110,YES,NO,"21 Kelsea Ave Center Harbor, NH,CENTER HARBOR,BELKNAP, USA",43.711202,-71.46522
26,10,2023,"21 Kelsea Ave Center Harbor, NH",BELKNAP,,,CENTER HARBOR,20232106,YES,NO,"21 Kelsea Ave Center Harbor, NH,CENTER HARBOR,BELKNAP, USA",43.711202,-71.46522
23,6,2023,"Kelsea Ave Center Harbor, NH",BELKNAP,,,CENTER HARBOR,20230117,YES,NO,"Kelsea Ave Center Harbor, NH,CENTER HARBOR,BELKNAP, USA",43.7113251,-71.4649908
17,10,2023,98 Caverly Rd 03254,CARROLL,,,MOULTONBOROUGH,20232156,YES,NO,"98 Caverly Rd 03254,MOULTONBOROUGH,CARROLL, USA",43.712127,-71.322803
20,5,2023,98 Caverly Road,CARROLL,,,MOULTONBOROUGH,20230297,YES,NO,"98 Caverly Road,MOULTONBOROUGH,CARROLL, USA",43.712127,-71.322803
19,6,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231296,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
3,7,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231300,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
10,7,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231313,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
24,6,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231339,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
24,6,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231340,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
24,6,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231341,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
24,6,2023,15 Deerwood Rd,GRAFTON,,,HOLDERNESS,20231342,YES,NO,"15 Deerwood Rd,HOLDERNESS,GRAFTON, USA",43.7237733,-71.5499269
26,5,2023,Five finger Point,GRAFTON,,,HOLDERNESS,20231087,YES,NO,"Five finger Point,HOLDERNESS,GRAFTON, USA",43.771506,-71.5269332
17,4,2023,157 Fairgrounds Road,GRAFTON,,,PLYMOUTH,20231432,YES,NO,"157 Fairgrounds Road,PLYMOUTH,GRAFTON, USA",43.7739272,-71.699054
1,11,2023,73 Bennett Cove Lane,GRAFTON,,,HOLDERNESS,20232353,YES,NO,"73 Bennett Cove Lane,HOLDERNESS,GRAFTON, USA",43.7757477,-71.5498811
25,10,2023,73 Bennett Cove Lane,GRAFTON,,,HOLDERNESS,20232357,YES,NO,"73 Bennett Cove Lane,HOLDERNESS,GRAFTON, USA",43.7757477,-71.5498811
19,6,2023,,GRAFTON,44.0043,-71.5608,PIKE,20231153,YES,NO,"nan,PIKE,GRAFTON, USA",44.0043,-71.5608
29,4,2023,294 Gibson Road,GRAFTON,,,EASTON,20230008,YES,NO,"294 Gibson Road,EASTON,GRAFTON, USA",44.141921,-71.7988487
29,4,2023,294 Gibson Road,GRAFTON,,,EASTON,20230007,YES,NO,"294 Gibson Road,EASTON,GRAFTON, USA",44.141921,-71.7988487
15,7,2023,347 Hill Road,GRAFTON,,,BATH,20231888,YES,NO,"347 Hill Road,BATH,GRAFTON, USA",44.1506078,-71.9493678
18,4,2023,10 Orchard View Rd Amherst NH,HILLSBOROUGH,,,AMHERST,20230052,YES,NO,"10 Orchard View Rd Amherst NH,AMHERST,HILLSBOROUGH, USA",42.882907,-71.601592
13,10,2023,18 Farm Pond Road,CARROLL,,,MIRROR LAKE,20232193,YES,NO,"18 Farm Pond Road,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
21,6,2023,"50 Camp Pemigewassett Rd Wentworth, NH",GRAFTON,,,WENTWORTH,20231567,YES,NO,"50 Camp Pemigewassett Rd Wentworth, NH,WENTWORTH,GRAFTON, USA",43.88966085,-71.96927123
20,10,2023,59 Red Gate Lane,BELKNAP,,,MEREDITH,20232001,YES,NO,"59 Red Gate Lane,MEREDITH,BELKNAP, USA",43.605968,-71.528798
2,5,2023,6 Basham Hollow Road,MERRIMACK,,,WEBSTER,20230537,YES,NO,"6 Basham Hollow Road,WEBSTER,MERRIMACK, USA",43.309722,-71.719251
28,5,2023,6 Basham Hollow Road,MERRIMACK,,,WEBSTER,20230546,YES,NO,"6 Basham Hollow Road,WEBSTER,MERRIMACK, USA",43.309722,-71.719251
26,5,2023,"76 ME-236, Newichawannock Woods",,,,BERWICK_ME,20230463,YES,NO,"76 ME-236, Newichawannock Woods,BERWICK_ME,nan, USA",43.2662985,-70.8645854
24,7,2023,"After Hiking waterville valley, Welch and Dickey",GRAFTON,,,WATERVILLE VALLEY,20231935,YES,NO,"After Hiking waterville valley, Welch and Dickey,WATERVILLE VALLEY,GRAFTON, USA",43.9592801,-71.5082639
22,4,2023,"Bow or Alton (16 Jonathon Lane, Bow NH)",MERRIMACK,,,BOW,20230041,YES,NO,"Bow or Alton (16 Jonathon Lane, Bow NH),BOW,MERRIMACK, USA",43.159567,-71.523724
25,6,2023,"Camp Cody 9 Cody Rd Freedom, NH 03836",CARROLL,,,FREEDOM,20231272,YES,NO,"Camp Cody 9 Cody Rd Freedom, NH 03836,FREEDOM,CARROLL, USA",43.8099719,-71.1089291
7,7,2023,"Camp Cody 9 Cody Rd Freedom, NH 03836",CARROLL,,,FREEDOM,20231288,YES,NO,"Camp Cody 9 Cody Rd Freedom, NH 03836,FREEDOM,CARROLL, USA",43.8099719,-71.1089291
15,7,2023,Center Harbor Woods / Procton Wildlife Sanctuary,BELKNAP,,,CENTER HARBOR,20231907,YES,NO,"Center Harbor Woods / Procton Wildlife Sanctuary,CENTER HARBOR,BELKNAP, USA",43.689541,-71.544367
23,6,2023,"Coppermine mountain bike trails, Franconia and Sugar Hill Lupine Field & Echo Lake",GRAFTON,,,FRANCONIA,20232179,YES,NO,"Coppermine mountain bike trails, Franconia and Sugar Hill Lupine Field & Echo Lake,FRANCONIA,GRAFTON, USA",44.2233846,-71.7429452
17,6,2023,Hebron Marsh,GRAFTON,,,HOLDERNESS,20232329,YES,NO,"Hebron Marsh,HOLDERNESS,GRAFTON, USA",43.699031,-71.557623
27,8,2023,Lakes region are of NH ,BELKNAP,,,LACONIA,20231500,YES,NO,"Lakes region are of NH,LACONIA,BELKNAP, USA",43.52875,-71.460251
1,10,2023,Metcalf Road,GRAFTON,,,HOLDERNESS,20232150,YES,NO,"Metcalf Road,HOLDERNESS,GRAFTON, USA",43.699031,-71.557623
6,6,2023,,CHESHIRE,,,HARRISVILLE,20231319,YES,NO,"nan,HARRISVILLE,CHESHIRE, USA",42.951929,-72.106424
20,5,2023,,MERRIMACK,,,HILL,20230182,YES,NO,"nan,HILL,MERRIMACK, USA",43.53288,-71.76779
20,9,2023,,GRAFTON,,,HOLDERNESS,20232149,YES,NO,"nan,HOLDERNESS,GRAFTON, USA",43.478,-71.331
2,10,2023,,GRAFTON,,,LISBON,20232160,YES,NO,"nan,LISBON,GRAFTON, USA",44.21745,-71.914099
23,6,2023,Northwoods Camp,CARROLL,,,MIRROR LAKE,20231978,YES,NO,"Northwoods Camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
27,6,2023,Northwoods Camp,CARROLL,,,MIRROR LAKE,20231981,YES,NO,"Northwoods Camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
28,6,2023,Northwoods Camp,CARROLL,,,MIRROR LAKE,20231986,YES,NO,"Northwoods Camp,MIRROR LAKE,CARROLL, USA",43.6228769,-71.2631087
